customer_choice_number,universal_style_number,division_description,department_description,class_description,subclass_description,product_tag_category_group,product_tag_activity,product_tag_style,search_color,ga_superclass,ga_activity,price,average_rating,total_reviews,product_description,activity_description
819541082,819541,ATHLETA GIRLS,GIRLS BOTTOMS,SHORTS,WOVEN,Bottoms,,Shorts,BLUE,bottoms,all day active,26.25,4.8,363.0,"Athleta Girls Bottoms
Athleta Girl Run Free 2.5"" Short
Color: BLUE (CARIBANA BLUE (COLORO)
About Fit and Sizing: Semi-fitted, skims easily over the body; Inseam: 2.5""
Material details: 86% Recycled Polyester/14% Spandex
New Color","FOR: School, practice, and play; FEEL: Featherweight Stretch is made with recycled polyester and feels light as air; FAVE: Fully adjustable neverending drawcord; Built-in brief
"
819563012,819563,ATHLETA GIRLS,GIRLS BOTTOMS,SHORTS,KNIT,Bottoms,,Shorts,PURPLE,bottoms,all day active,35.0,4.9,18.0,"Athleta Girls Bottoms
Athleta Girl Rise Above Rib Short
Color: PURPLE (FRESH LILAC)
About Fit and Sizing: Close to the body for live-in comfort; Inseam: 3""
Material details: 84% Nylon / 26% Spandex
Collection: Rise Above
New to Sale","FOR: School, practice, and play; FEEL: Seamless construction for maximum comfort and minimal chafing; FAVE: Chafe-free, seamless construction for maximum comfort
"
819730012,819730,ATHLETA GIRLS,GIRLS ACCESSORY,BAG,BACKPACK,Bags,,Bags,PINK,accessory,all day active,48.75,4.4,63.0,"Athleta Girls Bags
Athleta Girl Limitless Backpack
Color: PINK (CHIA PINK)
About Fit and Sizing: Dimensions: 11.5"" x 6"" x 17""
Material details: 65% Polyester/35% Recycled Polyester
New In","FOR: School, practice, and play; FEEL: Water-resistant and durable fabric; FAVE: Adjustable straps for personalized fit
"
819773002,819773,ATHLETA GIRLS,GIRLS ACCESSORY,SOCKS,LOW,Socks or Tights,,Tights & Socks,PURPLE,accessory,all day active,16.0,4.8,31.0,"Athleta Girls Socks or Tights
Athleta Girl Everyday Ankle Sock 3-Pack
Color: PURPLE (FRESH LILAC)
About Fit and Sizing: S/M: 7.5” – 8.5”; M/L: 8.5” – 9.5”
Material details: 79% Organic Cotton/18% Nylon/3% Spandex
Additional features: Multipack
Collection: Everyday
","FOR: School, practice, and play; FEEL: Cotton blend keeps you comfortable; FAVE: Compressive construction at arch
"
819773012,819773,ATHLETA GIRLS,GIRLS ACCESSORY,SOCKS,LOW,Socks or Tights,,Tights & Socks,BLUE,accessory,all day active,16.0,4.8,31.0,"Athleta Girls Socks or Tights
Athleta Girl Everyday Ankle Sock 3-Pack
Color: BLUE (DAWN BLUE)
About Fit and Sizing: S/M: 7.5” – 8.5”; M/L: 8.5” – 9.5”
Material details: 79% Organic Cotton/18% Nylon/3% Spandex
Additional features: Multipack
Collection: Everyday
","FOR: School, practice, and play; FEEL: Cotton blend keeps you comfortable; FAVE: Compressive construction at arch
"
819773032,819773,ATHLETA GIRLS,GIRLS ACCESSORY,SOCKS,LOW,Socks or Tights,,Tights & Socks,BLUE,accessory,all day active,12.0,4.8,31.0,"Athleta Girls Socks or Tights
Athleta Girl Everyday Ankle Sock 3-Pack
Color: BLUE (GROTTO BLUE)
About Fit and Sizing: S/M: 7.5” – 8.5”; M/L: 8.5” – 9.5”
Material details: 79% Organic Cotton/18% Nylon/3% Spandex
Additional features: Multipack
Collection: Everyday
","FOR: School, practice, and play; FEEL: Cotton blend keeps you comfortable; FAVE: Compressive construction at arch
"
819774002,819774,ATHLETA GIRLS,GIRLS ACCESSORY,SOCKS,HIGH,Socks or Tights,,Tights & Socks,PINK,accessory,all day active,20.0,5.0,3.0,"Athleta Girls Socks or Tights
Athleta Girl Everday Crew Sock 3-Pack
Color: PINK (RAPHANUS PINK)
About Fit and Sizing: S/M: 7.5""-8.5""; M/L: 8.5""-9.5""
Material details: 73% Organic Cotton/24% Nylon/3% Spandex
Additional features: Multipack
","FOR: School, practice, and play; FEEL: Cotton blend keeps you comfortable; FAVE: Compressive construction at arch
"
820325012,820325,WOMENS,INTIMATES,BRAS,WIRELESS,Bras or Support Tops,Run & Train,Bras,BLACK,intimates,run,48.3,4.0,44.0,"Womens Bras or Support Tops
Invincible Bra
Color: BLACK (BLACK)
Activity: Run & Train
About Fit and Sizing: Designed for B-DD cups; IMPACT: For high-impact workouts; MEDIUM COVERAGE: Mid-rise neckline strikes the balance between concealed and revealed; WIRELESS UNLINED COMPRESSION SUPPORT: Provides a comfortable, flattering fit with added hold; Not padded
Material details: 100% Nylon
Fabric performance: Compression; Breathable; Quick Dry; Wicking
Additional features: Adjustable Straps
","FOR: Long distance, short distance, and trail running; IMPACT: For high-impact workouts; FEEL: Lightweight and smooth with sculpted support; FAVE: Adjustable, padded straps for a customizable fit and comfort; Mesh ventilation on front and back helps keep you cool; Hook and eye closure for easy on/off wear
Run & Train"
820325022,820325,WOMENS,INTIMATES,BRAS,WIRELESS,Bras or Support Tops,Run & Train,Bras,WHITE,intimates,run,48.3,4.0,44.0,"Womens Bras or Support Tops
Invincible Bra
Color: WHITE (BRIGHT WHITE)
Activity: Run & Train
About Fit and Sizing: Designed for B-DD cups; IMPACT: For high-impact workouts; MEDIUM COVERAGE: Mid-rise neckline strikes the balance between concealed and revealed; WIRELESS UNLINED COMPRESSION SUPPORT: Provides a comfortable, flattering fit with added hold; Not padded
Material details: 100% Nylon
Fabric performance: Compression; Breathable; Quick Dry; Wicking
Additional features: Adjustable Straps
","FOR: Long distance, short distance, and trail running; IMPACT: For high-impact workouts; FEEL: Lightweight and smooth with sculpted support; FAVE: Adjustable, padded straps for a customizable fit and comfort; Mesh ventilation on front and back helps keep you cool; Hook and eye closure for easy on/off wear
Run & Train"
820577002,820577,ATHLETA GIRLS,GIRLS SWIMWEAR,ONE PIECE,OVER THE SHOULDER,Swim Tops or One Pieces,,Swimwear,BLACK,swimwear,water,41.25,4.6,43.0,"Athleta Girls Swim Tops or One Pieces
Athleta Girl Adjustable One Piece Swimsuit
Color: BLACK (BLACK)
About Fit and Sizing: Fitted next to the body
Material details: 80% Recycled Nylon/20% Lycra® Spandex
Fabric performance: UPF
Final Sale","FOR: Swim, surf, stand-up paddleboard, and all water sports; FEEL: Recycled swim fabric is sleek with high stretch; FAVE: Adjustable straps for a customizable fit
"
820577022,820577,ATHLETA GIRLS,GIRLS SWIMWEAR,ONE PIECE,OVER THE SHOULDER,Swim Tops or One Pieces,,Swimwear,BLUE,swimwear,water,41.25,4.6,43.0,"Athleta Girls Swim Tops or One Pieces
Athleta Girl Adjustable One Piece Swimsuit
Color: BLUE (OPALINE BORA BORA)
About Fit and Sizing: Fitted next to the body
Material details: 80% Recycled Nylon/20% Lycra® Spandex
Fabric performance: UPF
Final Sale","FOR: Swim, surf, stand-up paddleboard, and all water sports; FEEL: Recycled swim fabric is sleek with high stretch; FAVE: Adjustable straps for a customizable fit
"
820577052,820577,ATHLETA GIRLS,GIRLS SWIMWEAR,ONE PIECE,OVER THE SHOULDER,Swim Tops or One Pieces,,Swimwear,PINK,swimwear,water,55.0,4.6,43.0,"Athleta Girls Swim Tops or One Pieces
Athleta Girl Adjustable One Piece Swimsuit
Color: PINK (BALI BEGONIA)
About Fit and Sizing: Fitted next to the body
Material details: 80% Recycled Nylon/20% Lycra® Spandex
Fabric performance: UPF
Final Sale","FOR: Swim, surf, stand-up paddleboard, and all water sports; FEEL: Recycled swim fabric is sleek with high stretch; FAVE: Adjustable straps for a customizable fit
"
820625032,820625,ATHLETA GIRLS,GIRLS SWIMWEAR,RASHGUARDS/UPF,L/S,Tops,,Swimwear; Rashguard,PURPLE,swimwear,water,45.0,4.6,27.0,"Athleta Girls Tops
Athleta Girl Long Sleeve Rashguard
Color: PURPLE (FRESH LILAC)
About Fit and Sizing: Semi-fitted, skims easily over the body
Material details: 82% Recycled Nylon/18% Elastane
Fabric performance: UPF
Final Sale","FOR: Swim, surf, stand-up paddleboard, and all water sports; FEEL: Soft and stretchy Lycra® Xtra Life™ fabric; FAVE: Mix and match for a style unique to you
"
820627012,820627,ATHLETA GIRLS,GIRLS SWIMWEAR,TANKINI,OVER THE SHOULDER,Swim Tops or One Pieces,,Swimwear,ORANGE,swimwear,water,35.0,4.7,55.0,"Athleta Girls Swim Tops or One Pieces
Athleta Girl High Neck Crop Bikini Top
Color: ORANGE (SUNRISE CORAL)
About Fit and Sizing: Fitted next to the body; Removable pads in sizes L to XXL
Material details: 80% Recycled Nylon/20% Lycra® Spandex
Fabric performance: UPF
Final Sale","FOR: Swim, surf, stand-up paddleboard, and all water sports; FEEL: Recycled swim fabric is sleek with high stretch; FAVE: Mix and match for a style unique to you
"
820627032,820627,ATHLETA GIRLS,GIRLS SWIMWEAR,TANKINI,OVER THE SHOULDER,Swim Tops or One Pieces,,Swimwear,BLUE,swimwear,water,35.0,4.7,55.0,"Athleta Girls Swim Tops or One Pieces
Athleta Girl High Neck Crop Bikini Top
Color: BLUE (BORA BORA BLUE)
About Fit and Sizing: Fitted next to the body; Removable pads in sizes L to XXL
Material details: 80% Recycled Nylon/20% Lycra® Spandex
Fabric performance: UPF
Final Sale","FOR: Swim, surf, stand-up paddleboard, and all water sports; FEEL: Recycled swim fabric is sleek with high stretch; FAVE: Mix and match for a style unique to you
"
820642052,820642,ATHLETA GIRLS,GIRLS SWIMWEAR,SWIM BOTTOMS,BIKINI,Swim Bottoms,,Swimwear,MULTI,swimwear,water,32.0,4.6,21.0,"Athleta Girls Swim Bottoms
Athleta Girl Reversible High Rise Swim Bottom
Color: MULTI (BLACK/ BORA BORA BLUE)
About Fit and Sizing: Fitted next to the body
Material details: 82% Recycled Nylon/18% Elastane
Fabric performance: UPF
Final Sale","FOR: Swim, surf, stand-up paddleboard, and all water sports; FEEL: Soft and stretchy Lycra® Xtra Life™ fabric; FAVE: Reversible for two looks in one
"
820662012,820662,ATHLETA GIRLS,GIRLS SWIMWEAR,BIKINI,OVER THE SHOULDER,Swim Tops or One Pieces,,Swimwear,BLUE,swimwear,water,29.0,4.7,23.0,"Athleta Girls Swim Tops or One Pieces
Athleta Girl One Shoulder Bikini Top
Color: BLUE (BALI BLUE)
About Fit and Sizing: Fitted next to the body
Material details: 80% Recycled Nylon/20% Lycra® Spandex
Fabric performance: UPF
Final Sale","FOR: Swim, surf, stand-up paddleboard, and all water sports; FEEL: Recycled swim fabric is sleek with high stretch; FAVE: Mix and match prints and solids for a style unique to you
"
821254082,821254,ATHLETA GIRLS,GIRLS TOPS,TOPS,S/S,Tops,,Active Tops; Short Sleeve,WHITE,tops,all day active,29.0,4.7,61.0,"Athleta Girls Tops
Athleta Girl Daily Graphic Tee
Color: WHITE (MULTI WHITE)
About Fit and Sizing: Relaxed with room to move; Body length in size medium: Regular: 17""
Material details: 100% Organic Cotton
Limited Edition Drop!","FOR: School, practice, and play; FEEL: Organic Cotton is lightweight, stretchy, and breathable; FAVE: Keeps her comfy for all activities
"
821255042,821255,ATHLETA GIRLS,GIRLS TOPS,TOPS,S/L,Tops,,Active Tops; Tank,BLUE,tops,all day active,39.0,,,"Athleta Girls Tops
Athleta Girl Power Up Seamless Sport Length Tank
Color: BLUE (OASIS BLUE)
About Fit and Sizing: Skims easily over the body; Body length in size medium: Regular: 17.5""
Material details: 100% Nylon
Collection: Power Up
","FOR: School, practice, and play; FEEL: Seamless construction for maximum comfort and minimal chafing; FAVE: Interior mantra on hem keeps her motivated
"
821391022,821391,WOMENS,APPAREL,SHORT KNIT,8 UNDER,Bottoms,Run & Train,Shorts,BLACK,bottoms,train,41.4,4.4,155.0,"Womens Bottoms
Interval Stash 7"" Short
Color: BLACK (BLACK)
Activity: Run & Train
About Fit and Sizing: Fitted next to the body; High rise, sits at the natural waist; Classic bike short length; Inseam: Regular/Plus: 7""; For a held-in sensation and maximum support, we recommend ordering your standard tight size
Material details: 77% Recycled Polyester/23% Elastane
Fabric performance: Quick Dry; Wicking; Breathable; UPF
Additional features: Pockets
Collection: Interval
New PowerMove Fabric","FOR: Our highest-compression tight for medium to high-impact workouts at the gym, studio, or outdoors; FEEL: PowerMove fabric is engineered with interlock construction using 50-gauge knitting technology, offering sleek, compressive support and a no-slip fit; FAVE: Stay-put bonded waistband molds to your form as body heat rises; Ergonomic pocket construction offers streamlined storage; Fully adjustable continuous drawstring won't get lost in the wash
Run & Train"
821391042,821391,WOMENS,APPAREL,SHORT KNIT,8 UNDER,Bottoms,Run & Train,Shorts,BLUE,bottoms,train,41.4,4.4,155.0,"Womens Bottoms
Interval Stash 7"" Short
Color: BLUE (GRANITE BLUE)
Activity: Run & Train
About Fit and Sizing: Fitted next to the body; High rise, sits at the natural waist; Classic bike short length; Inseam: Regular/Plus: 7""; For a held-in sensation and maximum support, we recommend ordering your standard tight size
Material details: 77% Recycled Polyester/23% Elastane
Fabric performance: Quick Dry; Wicking; Breathable; UPF
Additional features: Pockets
Collection: Interval
New PowerMove Fabric","FOR: Our highest-compression tight for medium to high-impact workouts at the gym, studio, or outdoors; FEEL: PowerMove fabric is engineered with interlock construction using 50-gauge knitting technology, offering sleek, compressive support and a no-slip fit; FAVE: Stay-put bonded waistband molds to your form as body heat rises; Ergonomic pocket construction offers streamlined storage; Fully adjustable continuous drawstring won't get lost in the wash
Run & Train"
821407022,821407,WOMENS,APPAREL,CAPRI KNIT,TIGHT/LEGGING,Bottoms,Run & Train,Capris,GRAY,bottoms,train,99.0,4.2,102.0,"Womens Bottoms
Interval Stash High Rise  Capri
Color: GRAY (GRANITE BLUE)
Activity: Run & Train
About Fit and Sizing: Fitted next to the body; High rise, sits at the natural waist; Capri, hits mid calf; Inseam: Regular/Plus: 21"" Petite: 18.5"" Tall: 23""; For a held-in sensation and maximum support, we recommend ordering your standard tight size
Material details: 77% Recycled Polyester/23% Elastane
Fabric performance: Breathable; Quick Dry; Wicking; UPF
Additional features: Pockets
Collection: Interval
Pre-Order","FOR: Our highest-compression tight for medium to high-impact workouts at the gym, studio, or outdoors; FEEL: PowerMove fabric is engineered with interlock construction using 50-gauge knitting technology, offering sleek, compressive support and a no-slip fit; FAVE: Supportive bonded waistband with internal continuous drawcord; Ergonomic pocket construction offers streamlined storage; Fully adjustable continuous drawstring won't get lost in the wash
Run & Train"
822807012,822807,WOMENS,ACCESSORY,GEAR,YOGA MAT,Accessories,,Accessories,BROWN,accessory,studio,99.0,3.7,19.0,"Womens Accessories
Manduka Prolite Yoga Mat
Color: BROWN (MIDNIGHT)
About Fit and Sizing: Standard length mat: 4.7 mm thick; 71"" x 24"" 4 lbs
Material details: PVC that has been certified STANDARD 100 by OEKO-TEX®-
Excluded from Promotion","FOR: Yoga or studio practice; FEEL: Ultra-dense cushioning provides superior support, stability, and joint protection; FAVE: Textured top layer allows you to flow between postures without sticking to the mat
"
823805002,823805,WOMENS,SWIMWEAR,ONE PIECE,NOVELTY,Swim Tops or One Pieces,Hike & Explore; Swim Surf SUP,Swimwear,ORANGE,swimwear,swimwear,69.97,,,"Womens Swim Tops or One Pieces
Sun Shield One Piece Rashguard
Color: ORANGE (HOT CORAL)
Activity: Hike & Explore; Swim Surf SUP
About Fit and Sizing: One piece; New and improved swim liner, featuring optimal elongation and stretch to fit every body type! Wear tested for relaunch for the best fit
Material details: 75% Recycled Polyester/25% Lycra® Spandex
Fabric performance: UPF; Quick Dry
Final Sale","FOR: Swim, surf, stand-up paddleboard, and all water sports; FEEL: Recycled H₂ECO swim fabric is smooth and sleek with powerful stretch; FAVE: Layer over your swimsuit for added coverage and rash protection
Hike & Explore; Swim Surf SUP"
823812002,823812,WOMENS,SWIMWEAR,SWIM BOTTOMS,BIKINI,Swim Bottoms,Swim Surf SUP; Hike & Explore,Swimwear,BLACK,swimwear,swimwear,24.97,,,"Womens Swim Bottoms
Clean Full Pique Swim Bottom
Color: BLACK (BLACK)
Activity: Swim Surf SUP; Hike & Explore
About Fit and Sizing: Medium-rise waist; Full-seat coverage
Material details: 72% Recycled Nylon/20% Nylon/8% Lycra® Spandex
Fabric performance: UPF; Quick Dry
Final Sale","FOR: Swim, surf, stand-up paddleboard, and all water sports; FEEL: Ultra-lightweight performance fabric; FAVE: Clean finished waist won't chafe or pinch
Swim Surf SUP; Hike & Explore"
823853002,823853,WOMENS,SWIMWEAR,BIKINI TOP,CAMI,Swim Tops or One Pieces,Hike & Explore; Swim Surf SUP,Swimwear,ORANGE,swimwear,swimwear,29.97,,,"Womens Swim Tops or One Pieces
Triangle Bikini Top D-DD
Color: ORANGE (HOT CORAL)
Activity: Hike & Explore; Swim Surf SUP
About Fit and Sizing: Light Support: Best for D-DD Cup
Material details: 75% Recycled Polyester/25% Lycra® Spandex
Fabric performance: Quick Dry; UPF
Additional features: Adjustable Straps
Final Sale","FOR: Swim, surf, stand-up paddleboard, and all water sports; FEEL: Recycled H₂ECO swim fabric is smooth and sleek with powerful stretch; FAVE: Adjustable tie back for custom fit
Hike & Explore; Swim Surf SUP"
823854012,823854,WOMENS,SWIMWEAR,SWIM BOTTOMS,BIKINI,Swim Bottoms,Hike & Explore; Swim Surf SUP,Swimwear,BLUE,swimwear,swimwear,24.97,,,"Womens Swim Bottoms
High Waist Rib Swim Bottom
Color: BLUE (DAWN BLUE)
Activity: Hike & Explore; Swim Surf SUP
About Fit and Sizing: High-rise waist; Medium-seat coverage
Material details: 84% Recycled Nylon/16% Elastane
Fabric performance: UPF; Quick Dry
Final Sale","FOR: Swim, surf, stand-up paddleboard, and all water sports; FEEL: Ultra-soft and stretchy fabric with light compression; FAVE: Internal liner provides extra hold
Hike & Explore; Swim Surf SUP"
823856002,823856,WOMENS,SWIMWEAR,RASHGUARDS,LONG SLEEVE,Tops,Swim Surf SUP; Hike & Explore,Swimwear; Rashguard; Active Tops,BLACK,swimwear,swimwear,44.97,4.6,18.0,"Womens Tops
North Point Crop Rashguard
Color: BLACK (BLACK)
Activity: Swim Surf SUP; Hike & Explore
About Fit and Sizing: High hip, sits at the high hip
Material details: 75% Recycled Polyester/25% Lycra® Spandex
Fabric performance: UPF; Quick Dry
Final Sale","FOR: Swim, surf, stand-up paddleboard, and all water sports; FEEL: Recycled H₂ECO swim fabric is smooth and sleek with powerful stretch; FAVE: Back pull zipper for easy on/off
Swim Surf SUP; Hike & Explore"
823872022,823872,WOMENS,SWIMWEAR,TANKINI,CAMI,Swim Tops or One Pieces,Hike & Explore; Swim Surf SUP,Swimwear,GREEN,swimwear,swimwear,34.97,,,"Womens Swim Tops or One Pieces
Scoop Crop Pique Tankini D-DD
Color: GREEN (FLORA GREEN)
Activity: Hike & Explore; Swim Surf SUP
About Fit and Sizing: Light Support: Best for D-DD Cup
Material details: 72% Recycled Nylon/20% Nylon/8% Lycra® Spandex
Fabric performance: UPF; Quick Dry
Additional features: Adjustable Straps
Final Sale","FOR: Swim, surf, stand-up paddleboard, and all water sports; FEEL: Ultra-lightweight performance fabric; FAVE: Adjustable straps for a custom fit
Hike & Explore; Swim Surf SUP"
823892002,823892,WOMENS,SWIMWEAR,SWIM BOTTOMS,BIKINI,Swim Bottoms,Hike & Explore; Swim Surf SUP,Swimwear,BLACK,swimwear,swimwear,24.97,,,"Womens Swim Bottoms
High Waist Pique Swim Bottom
Color: BLACK (BLACK)
Activity: Hike & Explore; Swim Surf SUP
About Fit and Sizing: High-rise waist; Medium-seat coverage
Material details: 72% Recycled Nylon/20% Nylon/8% Lycra® Spandex
Fabric performance: UPF; Quick Dry
Final Sale","FOR: Swim, surf, stand-up paddleboard, and all water sports; FEEL: Ultra-lightweight performance fabric; FAVE: Internal liner provides extra hold
Hike & Explore; Swim Surf SUP"
823892032,823892,WOMENS,SWIMWEAR,SWIM BOTTOMS,BIKINI,Swim Bottoms,Hike & Explore; Swim Surf SUP,Swimwear,WHITE,swimwear,swimwear,24.97,,,"Womens Swim Bottoms
High Waist Pique Swim Bottom
Color: WHITE (BRIGHT WHITE)
Activity: Hike & Explore; Swim Surf SUP
About Fit and Sizing: High-rise waist; Medium-seat coverage
Material details: 72% Recycled Nylon/20% Nylon/8% Lycra® Spandex
Fabric performance: UPF; Quick Dry
Final Sale","FOR: Swim, surf, stand-up paddleboard, and all water sports; FEEL: Ultra-lightweight performance fabric; FAVE: Internal liner provides extra hold
Hike & Explore; Swim Surf SUP"
823906002,823906,WOMENS,SWIMWEAR,TANKINI,CAMI,Swim Tops or One Pieces,Hike & Explore; Swim Surf SUP,Swimwear,BLACK,swimwear,swimwear,65.0,,,"Womens Swim Tops or One Pieces
Scoop Crop Pique Tankini A-C
Color: BLACK (BLACK)
Activity: Hike & Explore; Swim Surf SUP
About Fit and Sizing: Light Support: Best for A-C Cup
Material details: 72% Recycled Nylon/20% Nylon/8% Lycra® Spandex
Fabric performance: UPF; Quick Dry
Additional features: Adjustable Straps
Online Exclusive","FOR: Swim, surf, stand-up paddleboard, and all water sports; FEEL: Ultra-lightweight performance fabric; FAVE: Adjustable straps for a custom fit
Hike & Explore; Swim Surf SUP"
823906032,823906,WOMENS,SWIMWEAR,TANKINI,CAMI,Swim Tops or One Pieces,Hike & Explore; Swim Surf SUP,Swimwear,WHITE,swimwear,swimwear,65.0,,,"Womens Swim Tops or One Pieces
Scoop Crop Pique Tankini A-C
Color: WHITE (BRIGHT WHITE)
Activity: Hike & Explore; Swim Surf SUP
About Fit and Sizing: Light Support: Best for A-C Cup
Material details: 72% Recycled Nylon/20% Nylon/8% Lycra® Spandex
Fabric performance: UPF; Quick Dry
Additional features: Adjustable Straps
Online Exclusive","FOR: Swim, surf, stand-up paddleboard, and all water sports; FEEL: Ultra-lightweight performance fabric; FAVE: Adjustable straps for a custom fit
Hike & Explore; Swim Surf SUP"
824628032,824628,WOMENS,APPAREL,SLEEVELESS KNIT,LONG,Tops,Yoga & Studio,Active Tops; Tank,WHITE,tops,studio,39.0,4.7,890.0,"Womens Tops
With Ease Open Back Tank
Color: WHITE (BRIGHT WHITE)
Activity: Yoga & Studio
About Fit and Sizing: Relaxed with room to move; Covers your assets: longer length for more coverage; Crew neck
Material details: Solid: 56% Recycled Polyester/37% TENCEL™ Modal/7% ElastaneRib Texture: 97% TENCEL™ Modal/3% Elastane
Fabric performance: Breathable; Quick Dry; UPF
Collection: With Ease
Best Seller","FOR: Yoga or studio practice; FEEL: Soft, premium-weight comfort with luxurious TENCEL™ fibers that drape beautifully; FAVE: Open back detail perfect for showing off your favorite bra
Yoga & Studio"
824639032,824639,WOMENS,APPAREL,LONG SLEEVE KNIT,LONG,Tops,Yoga & Studio,Active Tops; long sleeve tee,BLACK,tops,studio,24.97,4.7,439.0,"Womens Tops
With Ease Open Back Top
Color: BLACK (BLACK)
Activity: Yoga & Studio
About Fit and Sizing: Relaxed with room to move; Covers your assets: longer length for more coverage; Crew neck; Body length in size medium: Regular: 25""
Material details: 49% Recycled Polyester/37% TENCEL™ Modal/7% Spandex/7% Polyester
Fabric performance: Breathable; Quick Dry; UPF
Collection: With Ease
Final Sale","FOR: Yoga or studio practice; FEEL: Soft, premium-weight comfort with luxurious TENCEL™ fibers that drape beautifully; FAVE: Open back detail perfect for showing off your favorite bra
Yoga & Studio"
824642022,824642,WOMENS,APPAREL,LONG SLEEVE KNIT,HIP,Tops,,Active Tops; long sleeve tee,WHITE,tops,all day active,25.97,4.6,282.0,"Womens Tops
Renew Seamless Mock Neck Top
Color: WHITE (BRIGHT WHITE)
About Fit and Sizing: Fitted next to the body; Regular length, hits at low hip; Mock neck; Body length in size medium: Regular: 24""
Material details: 100% Recycled Polyester null%
Fabric performance: Breathable; Wicking
Collection: Renew
Final Sale","FOR: Commuting, work, and travel; FEEL: Seamless construction for maximum comfort and minimal chafing; FAVE: Your favorite Renew Tank with added coverage
"
824684012,824684,WOMENS,APPAREL,LONG SLEEVE KNIT,HIP,Tops,Yoga & Studio,Active Tops; long sleeve tee,WHITE,tops,studio,59.0,4.6,272.0,"Womens Tops
With Ease Cinch Top
Color: WHITE (BRIGHT WHITE)
Activity: Yoga & Studio
About Fit and Sizing: Fitted next to the body; Crop length, sits above the natural waist; Crew neck; Body length in size medium: Regular: 23""
Material details: 49% Recycled Polyester/37% TENCEL™ Modal/7% Spandex/7% Polyester
Fabric performance: Breathable; UPF; Quick Dry
Collection: Essence
","FOR: Yoga or studio practice; FEEL: Soft, premium-weight comfort with luxurious TENCEL™ fibers that drape beautifully; FAVE: Gathered side detail defines the form
Yoga & Studio"
824817022,824817,WOMENS,APPAREL,DRESS,KNIT OTHER,Dresses; Bottoms,Yoga & Studio,Dresses; Bodysuits; Leggings,PURPLE,dress,studio,129.0,4.5,206.0,"Womens Dresses; Bottoms
Salutation Stash 7/8 Bodysuit
Color: PURPLE (SPICED CABERNET)
Activity: Yoga & Studio
About Fit and Sizing: Fitted next to the body; Square neck; 7/8 length, hits just above ankle; Inseam: Regular: 23"" Petite: 21"" Tall: 26""; Recommended for A-C cups
Material details: 75% Nylon/25% Lycra
Fabric performance: Breathable; Wicking; UPF; Quick Dry
Additional features: Pockets; Built-In Bra
Collection: Salutation
New to Sale","FOR: Yoga or studio practice; FEEL: Powervita fabric is buttery soft with support that feels like a gentle hug; FAVE: Bonded side stash pockets hold your essentials; Internal shelf bra with removable pads for support and coverage
Yoga & Studio"
825526022,825526,WOMENS,APPAREL,SHORT WOVEN,8 UNDER,Bottoms,Run & Train,Shorts,BROWN,bottoms,run,35.4,4.1,51.0,"Womens Bottoms
Crossover Run Short
Color: BROWN (PYRITE (COLORO 024-44-)
Activity: Run & Train
About Fit and Sizing: Semi-fitted, skims easily over the body; High rise, sits at the natural waist; Inseam: Regular: 4""
Material details: Outer Short: 86% Recycled Polyester/14% Spandex Inner Short: 77% Recycled Polyester/ 23% Elastane
Fabric performance: Abrasion Resistant; Quick Dry; UPF; Stretch; Wrinkle Resistant
Additional features: Pockets
Collection: Crossover
","FOR: HIIT, track workouts, and everyday runs; FEEL: Featherweight Stretch feels light as air while PowerMove fabric is sleek and supportive with medium-to-high compression; FAVE: Bonded waistband with proprietary PowerMove fabric molds to your body as you warm up; 2-in-1 hybrid construction, with a compressive PowerMove short and light-as-air Featherweight Stretch shell; Two side pockets on inside short stash your essentials; Targeted back ventilation offers optimal breathability; Reflective detailing for workouts at dawn or dusk
Run & Train"
825529032,825529,WOMENS,APPAREL,SHORT WOVEN,8 UNDER,Bottoms,Run & Train,Shorts,MULTI,bottoms,run,29.4,4.4,133.0,"Womens Bottoms
High Rise Weekender Run Short
Color: MULTI (JASPER ABSTRACT NAVY)
Activity: Run & Train
About Fit and Sizing: Semi-fitted, skims easily over the body; High rise, sits at the natural waist; Inseam: Regular: 3""
Material details: 86% Recycled Polyester/14% Spandex
Fabric performance: Abrasion Resistant; Quick Dry; UPF; Stretch; Wrinkle Resistant
Additional features: Pockets
Collection: Weekender
","FOR: Fun runs and coffee runs, plus sports and outdoor adventures; FEEL: Featherweight Stretch is made with recycled polyester and feels light as air; FAVE: Gathered-elastic waistband with continuous drawstring stays put and won't roll or dig; Easy-access pockets to stash your essentials; Built-in brief is lightweight and ultra-soft with sweat-wicking properties; Hidden zip pocket secures your card or key; Reflective detailing for workouts at dawn or dusk
Run & Train"
